id	label	value
3181	DULLY	37911
3182	DULSE	88254
3183	DUMAS	747
3184	DUMBO	52736
3185	DUMBS	77231
3186	DUMKA	59171
3187	DUMKY	79672
3188	DUMMY	26456
3189	DUMPS	78521
3190	DUMPY	85106
3191	DUNAM	74143
3192	DUNCE	96287
3193	DUNCH	16829
3194	DUNES	12272
3195	DUNGS	7735
3196	DUNGY	2586
3197	DUNKS	87031
3198	DUNNO	8006
3199	DUNNY	80319
3200	DUNSH	47094
3201	DUNTS	1506
3202	DUOMI	18670
3203	DUOMO	78589
3204	DUPED	10953
3205	DUPER	62074
3206	DUPES	73878
3207	DUPLE	46258
3208	DUPLY	95070
3209	DUPPY	21596
3210	DURAL	66427
3211	DURAS	37987
3212	DURED	14542
3213	DURES	17754
3214	DURGY	46811
3215	DURNS	75997
3216	DUROC	72430
3217	DUROS	17711
3218	DUROY	99498
3219	DURRA	65766
3220	DURRS	39962
3221	DURRY	32556
3222	DURST	46626
3223	DURUM	18075
3224	DURZI	42787
3225	DUSKS	4092
3226	DUSKY	20976
3227	DUSTS	98605
3228	DUSTY	81897
3229	DUTCH	4019
3230	DUVET	51150
3231	DUXES	30814
3232	DWAAL	35350
3233	DWALE	58937
3234	DWALM	42093
3235	DWAMS	64622
3236	DWANG	76732
3237	DWARF	76209
3238	DWAUM	75022
3239	DWEEB	58455
3240	DWELL	37024
3241	DWELT	20792
3242	DWILE	35255
3243	DWINE	73653
3244	DYADS	44326
3245	DYERS	4694
3246	DYING	50141
3247	DYKED	94179
3248	DYKES	1092
3249	DYKEY	80080
3250	DYKON	48624
3251	DYNEL	83500
3252	DYNES	5790
3253	DZHOS	31264
3254	EAGER	54540
3255	EAGLE	94047
3256	EAGRE	78695
3257	EALED	7776
3258	EALES	22252
3259	EANED	67001
3260	EARDS	65890
3261	EARED	79765
3262	EARLS	64362
3263	EARLY	78927
3264	EARNS	29783
3265	EARNT	49700
3266	EARST	78714
3267	EARTH	58110
3268	EASED	44552
3269	EASEL	17490
3270	EASER	27080
3271	EASES	75401
3272	EASLE	10981
3273	EASTS	5392
3274	EATEN	69611
3275	EATER	19915
3276	EATHE	94576
3277	EAVED	15367
3278	EAVES	54262
3279	EBBED	22992
3280	EBBET	25583
3281	EBONS	44085
3282	EBONY	8134
3283	EBOOK	94093
3284	ECADS	78324
3285	ECHED	31077
3286	ECHES	94113
3287	ECHOS	23961
3288	ECLAT	88458
3289	ECRUS	733
3290	EDEMA	83043
3291	EDGED	23502
3292	EDGER	38970
3293	EDGES	29756
3294	EDICT	54362
3295	EDIFY	19655
3296	EDILE	73265
3297	EDITS	85841
3298	EDUCE	97920
3299	EDUCT	46713
3300	EEJIT	68300
3301	EENSY	68187
3302	EERIE	85304
3303	EEVEN	15410
3304	EEVNS	2353
3305	EFFED	76964
3306	EGADS	97558
3307	EGERS	73793
3308	EGEST	59585
3309	EGGAR	82104
3310	EGGED	17237
3311	EGGER	50014
3312	EGMAS	35626
3313	EGRET	99249
3314	EHING	14396
3315	EIDER	20699
3316	EIDOS	69647
3317	EIGHT	71446
3318	EIGNE	49619
3319	EIKED	42610
3320	EIKON	39204
3321	EILDS	58002
3322	EISEL	33609
3323	EJECT	90535
3324	EJIDO	50992
3325	EKING	8691
3326	EKKAS	74154
3327	ELAIN	68443
3328	ELAND	50468
3329	ELANS	75131
3330	ELATE	49068
3331	ELBOW	58845
3332	ELCHI	59054
3333	ELDER	94101
3334	ELDIN	57221
3335	ELECT	28654
3336	ELEGY	27911
3337	ELEMI	76829
3338	ELFED	64697
3339	ELFIN	49653
3340	ELIAD	73050
3341	ELIDE	56001
3342	ELINT	34128
3343	ELITE	95503
3344	ELMEN	32235
3345	ELOGE	64558
3346	ELOGY	93990
3347	ELOIN	66826
3348	ELOPE	70969
3349	ELOPS	15720
3350	ELPEE	70823
3351	ELSIN	98505
3352	ELUDE	95913
3353	ELUTE	55034
3354	ELVAN	61551
3355	ELVEN	40150
3356	ELVER	93569
3357	ELVES	13463
3358	EMACS	18790
3359	EMAIL	54034
3360	EMBAR	70018
3361	EMBAY	85009
3362	EMBED	99447
3363	EMBER	95841
3364	EMBOG	5979
3365	EMBOW	88298
3366	EMBOX	48791
3367	EMBUS	73938
3368	EMCEE	43791
3369	EMEER	77291
3370	EMEND	42584
3371	EMERG	72263
3372	EMERY	71266
3373	EMEUS	82860
3374	EMICS	85986
3375	EMIRS	65099
3376	EMITS	24795
3377	EMMAS	4245
3378	EMMER	78769
3379	EMMET	3493
3380	EMMEW	60793
3381	EMMYS	26595
3382	EMOJI	39178
3383	EMONG	9045
3384	EMOTE	33749
3385	EMOVE	74403
3386	EMPTS	75886
3387	EMPTY	45627
3388	EMULE	4580
3389	EMURE	17419
3390	EMYDE	84851
3391	EMYDS	731
3392	ENACT	31448
3393	ENARM	70580
3394	ENATE	42199
3395	ENDED	78061
3396	ENDER	28172
3397	ENDEW	8567
3398	ENDOW	27180
3399	ENDUE	70354
3400	ENEMA	15867
3401	ENEMY	95377
3402	ENEWS	53656
3403	ENFIX	60766
3404	ENIAC	63750
3405	ENJOY	69301
3406	ENLIT	51339
3407	ENMEW	29761
3408	ENNOG	63345
3409	ENNUI	73815
3410	ENOKI	12004
3411	ENOLS	65619
3412	ENORM	79695
3413	ENOWS	77176
3414	ENROL	25684
3415	ENSEW	22743
3416	ENSKY	53402
3417	ENSUE	53262
3418	ENTER	33824
3419	ENTIA	53718
3420	ENTRY	29390
3421	ENURE	28261
3422	ENURN	93845
3423	ENVOI	32378
3424	ENVOY	94428
3425	ENZYM	84825
3426	EORLS	28530
3427	EOSIN	7389
3428	EPACT	71718
3429	EPEES	62284
3430	EPHAH	25503
3431	EPHAS	53857
3432	EPHOD	36598
3433	EPHOR	16833
3434	EPICS	80468
3435	EPOCH	57423
3436	EPODE	32237
3437	EPOPT	57083
3438	EPOXY	872
3439	EPRIS	86040
3440	EQUAL	17805
3441	EQUES	25943
3442	EQUID	15912
3443	EQUIP	51763
3444	ERASE	45384
3445	ERBIA	7966
3446	ERECT	15604
3447	EREVS	55560
3448	ERGON	47940
3449	ERGOS	66192
3450	ERGOT	1900
3451	ERHUS	85997
3452	ERICA	44805
3453	ERICK	5457
3454	ERICS	96783
3455	ERING	11495
3456	ERNED	80941
3457	ERNES	28854
3458	ERODE	79426
3459	EROSE	89935
3460	ERRED	58023
3461	ERROR	83321
3462	ERSES	44141
3463	ERUCT	38669
3464	ERUGO	91741
3465	ERUPT	7106
3466	ERUVS	3500
3467	ERVEN	19056
3468	ERVIL	42934
3469	ESCAR	25191
3470	ESCOT	52935
3471	ESILE	77683
3472	ESKAR	61427
3473	ESKER	7849
3474	ESNES	64703
3475	ESSAY	7935
3476	ESSES	32329
3477	ESTER	39341
3478	ESTOC	17595
3479	ESTOP	76718
3480	ESTRO	72404
3481	ETAGE	59866
3482	ETAPE	31378
3483	ETATS	21400
3484	ETENS	90475
3485	ETHAL	5111
3486	ETHER	68292
3487	ETHIC	56005
3488	ETHNE	53909
3489	ETHOS	78982
3490	ETHYL	29021
3491	ETICS	50504
3492	ETNAS	19987
3493	ETTIN	67963
3494	ETTLE	68441
3495	ETUDE	41761
3496	ETUIS	30367
3497	ETWEE	90541
3498	ETYMA	85976
3499	EUGHS	72716
3500	EUKED	65679
3501	EUPAD	56901
3502	EUROS	65497
3503	EUSOL	32059
3504	EVADE	32570
3505	EVENS	9644
3506	EVENT	95036
3507	EVERT	43514
3508	EVERY	99747
3509	EVETS	77521
3510	EVHOE	80893
3511	EVICT	10547
3512	EVILS	92605
3513	EVITE	69759
3514	EVOHE	60513
3515	EVOKE	63881
3516	EWERS	33347
3517	EWEST	52934
3518	EWHOW	70999
3519	EWKED	69719
3520	EXACT	87993
3521	EXALT	40815
3522	EXAMS	6919
3523	EXCEL	88230
3524	EXEAT	92443
3525	EXECS	77278
3526	EXEEM	93560
3527	EXEME	31482
3528	EXERT	97875
3529	EXFIL	75682
3530	EXIES	30776
3531	EXILE	37978
3532	EXINE	31877
3533	EXING	10840
3534	EXIST	38955
3535	EXITS	1482
3536	EXODE	92798
3537	EXOME	2974
3538	EXONS	77033
3539	EXPAT	60977
3540	EXPEL	96351
3541	EXPOS	39927
3542	EXTOL	73947
3543	EXTRA	11688
3544	EXUDE	38906
3545	EXULS	15626
3546	EXULT	40935
3547	EXURB	81229
3548	EYASS	68962
3549	EYERS	85399
3550	EYING	522
3551	EYOTS	67537
3552	EYRAS	17033
3553	EYRES	32865
3554	EYRIE	5219
3555	EYRIR	30579
3556	EZINE	98829
3557	FABBY	25072
3558	FABLE	89026
3559	FACED	88404
3560	FACER	27482
3561	FACES	65561
3562	FACET	87012
3563	FACIA	58494
3564	FACTA	56778
3565	FACTS	62298
3566	FADDY	37252
3567	FADED	70871
3568	FADER	98853
3569	FADES	28093
3570	FADGE	60552
3571	FADOS	65742
3572	FAENA	31097
3573	FAERY	61191
3574	FAFFS	16763
3575	FAFFY	37937
3576	FAGGY	39966
3577	FAGIN	25790
3578	FAGOT	5868
3579	FAIKS	7287
3580	FAILS	56231
3581	FAINE	48219
3582	FAINS	1386
3583	FAINT	3485
3584	FAIRS	96707
3585	FAIRY	37322
3586	FAITH	55880
3587	FAKED	64606
3588	FAKER	92699
3589	FAKES	31144
3590	FAKEY	17795
3591	FAKIE	7688
3592	FAKIR	89535
3593	FALAJ	18237
3594	FALLS	50965
3595	FALSE	68562
3596	FAMED	31673
3597	FAMES	15673
3598	FANAL	88632
3599	FANCY	62710
3600	FANDS	15489
3601	FANES	64736
3602	FANGA	51550
3603	FANGO	85409
3604	FANGS	99573
3605	FANKS	54263
3606	FANNY	4649
3607	FANON	48048
3608	FANOS	71370
3609	FANUM	78929
3610	FAQIR	25350
3611	FARAD	4581
3612	FARCE	2098
3613	FARCI	94087
3614	FARCY	23006
3615	FARDS	96148
3616	FARED	26984
3617	FARER	15088
3618	FARES	87616
3619	FARLE	57237
3620	FARLS	4954
3621	FARMS	40680
3622	FAROS	38630
3623	FARRO	99394
3624	FARSE	61676
3625	FARTS	96820
3626	FASCI	65550
3627	FASTI	15146
3628	FASTS	24004
3629	FATAL	75725
3630	FATED	70894
3631	FATES	78757
3632	FATLY	31293
3633	FATSO	84735
3634	FATTY	56940
3635	FATWA	57168
3636	FAUGH	46587
3637	FAULD	80558
3638	FAULT	98719
3639	FAUNA	17442
3640	FAUNS	18854
3641	FAURD	97497
3642	FAUTS	85329
3643	FAUVE	79119
3644	FAVAS	25030
3645	FAVEL	52331
3646	FAVER	42774
3647	FAVES	20758
3648	FAVOR	50653
3649	FAVUS	33455
3650	FAWNS	17136
3651	FAWNY	74433
3652	FAXED	2296
3653	FAXES	18794
3654	FAYED	16944
3655	FAYER	5219
3656	FAYNE	21926
3657	FAYRE	3717
3658	FAZED	80119
3659	FAZES	9977
3660	FEALS	70556
3661	FEARE	4417
3662	FEARS	93896
3663	FEART	61793
3664	FEASE	30432
3665	FEAST	31780
3666	FEATS	38426
3667	FEAZE	98896
3668	FECAL	46727
3669	FECES	54774
3670	FECHT	37017
3671	FECIT	82512
3672	FECKS	86749
3673	FEDEX	98787
3674	FEEBS	14754
3675	FEEDS	27407
3676	FEELS	41832
3677	FEENS	30111
3678	FEERS	33978
3679	FEESE	23942
3680	FEEZE	91663
3681	FEHME	83329
3682	FEIGN	5337
3683	FEINT	35383
3684	FEIST	36497
3685	FELCH	86825
3686	FELID	80704
3687	FELLA	56942
3688	FELLS	84774
3689	FELLY	73112
3690	FELON	35515
3691	FELTS	44339
3692	FELTY	32085
3693	FEMAL	98956
3694	FEMES	88115
3695	FEMME	93384
3696	FEMMY	81838
3697	FEMUR	27599
3698	FENCE	6742
3699	FENDS	92519
3700	FENDY	79990
3701	FENIS	21659
3702	FENKS	24230
3703	FENNY	90369
3704	FENTS	20878
3705	FEODS	38203
3706	FEOFF	8098
3707	FERAL	20012
3708	FERER	92442
3709	FERES	16850
3710	FERIA	96666
3711	FERLY	49320
3712	FERMI	14279
3713	FERMS	32615
3714	FERNS	34900
3715	FERNY	14942
3716	FERRY	37707
3717	FESSE	78219
3718	FESTA	83188
3719	FESTS	32023
3720	FESTY	28265
3721	FETAL	83272
3722	FETAS	35755
3723	FETCH	54008
3724	FETED	19559
3725	FETES	57792
3726	FETID	68307
3727	FETOR	70146
3728	FETTA	13037
3729	FETTS	79046
3730	FETUS	12507
3731	FETWA	99670
3732	FEUAR	59186
3733	FEUDS	32073
3734	FEUED	57349
3735	FEVER	44942
3736	FEWER	45293
3737	FEYED	33406
3738	FEYER	32613
3739	FEYLY	67304
3740	FEZES	28889
3741	FEZZY	16300
3742	FIARS	5831
3743	FIATS	49445
3744	FIBER	48906
3745	FIBRE	94081
3746	FIBRO	81361
3747	FICES	51111
3748	FICHE	47030
3749	FICHU	53486
3750	FICIN	35554
3751	FICOS	62848
3752	FICUS	40481
3753	FIDES	47174
3754	FIDGE	39523
3755	FIDOS	14240
3756	FIEFS	9566
3757	FIELD	16832
3758	FIEND	23279
3759	FIENT	77581
3760	FIERE	88388
3761	FIERS	67094
3762	FIERY	78914
3763	FIEST	20047
3764	FIFED	98775
3765	FIFER	22929
3766	FIFES	6444
3767	FIFIS	39360
3768	FIFTH	67526
3769	FIFTY	80457
3770	FIGGY	27022
3771	FIGHT	10696
3772	FIGOS	26509
3773	FIKED	26569
3774	FIKES	92486
3775	FILAR	7602
3776	FILCH	74079
3777	FILED	74054
3778	FILER	80675
3779	FILES	1572
3780	FILET	31000
3781	FILII	58842
3782	FILKS	36120
3783	FILLE	60352
3784	FILLO	65015
3785	FILLS	72416
3786	FILLY	83532
3787	FILMI	2700
3788	FILMS	19985
3789	FILMY	87021
3790	FILOS	51694
3791	FILTH	75779
3792	FILUM	39543
3793	FINAL	1767
3794	FINCA	84880
3795	FINCH	82324
3796	FINDS	99565
3797	FINED	50770
3798	FINER	94158
3799	FINES	13148
3800	FINIS	45689
3801	FINKS	23194
3802	FINNY	30743
3803	FINOS	86520
3804	FIORD	13375
3805	FIQHS	87001
3806	FIQUE	83793
3807	FIRED	23618
3808	FIRER	99534
3809	FIRES	92849
3810	FIRIE	76071
3811	FIRKS	81855
3812	FIRMS	57379
3813	FIRNS	68866
3814	FIRRY	17486
3815	FIRST	4440
3816	FIRTH	6419
3817	FISCS	14977
3818	FISHY	20330
3819	FISKS	65844
3820	FISTS	37551
3821	FISTY	70936
3822	FITCH	34830
3823	FITLY	12342
3824	FITNA	47186
3825	FITTE	33429
3826	FITTS	86066
3827	FIVER	58327
3828	FIVES	69733
3829	FIXED	14755
3830	FIXER	56844
3831	FIXES	15299
3832	FIXIT	85019
3833	FIZZY	84973
3834	FJELD	52972
3835	FJORD	74898
3836	FLABS	20432
3837	FLACK	55429
3838	FLAFF	98475
3839	FLAGS	3427
3840	FLAIL	27593
3841	FLAIR	7618
3842	FLAKE	4650
3843	FLAKS	42485
3844	FLAKY	25993
3845	FLAME	97733
3846	FLAMM	41009
3847	FLAMS	6017
3848	FLAMY	96933
3849	FLANE	53838
3850	FLANK	20522
3851	FLANS	7808
3852	FLAPS	97112
3853	FLARE	16582
3854	FLARY	3302
3855	FLASH	7896
3856	FLASK	55368
3857	FLATS	55333
3858	FLAVA	9011
3859	FLAWN	41285
3860	FLAWS	27466
3861	FLAWY	52563
3862	FLAXY	92122
3863	FLAYS	7366
3864	FLEAM	43126
3865	FLEAS	334
3866	FLECK	12265
3867	FLEEK	74273
3868	FLEER	90009
3869	FLEES	95213
3870	FLEET	79249
3871	FLEGS	42514
3872	FLEME	77609
3873	FLESH	2947
3874	FLEUR	98276
3875	FLEWS	69016
3876	FLEXI	75551
3877	FLEXO	94383
3878	FLEYS	49087
3879	FLICK	96617
3880	FLICS	77233
3881	FLIED	14634
3882	FLIER	38979
3883	FLIES	36825
3884	FLIMP	35651
3885	FLIMS	17712
3886	FLING	83180
3887	FLINT	27068
3888	FLIPS	82146
3889	FLIRS	13201
3890	FLIRT	52872
3891	FLISK	69255
3892	FLITE	65131
3893	FLITS	71544
3894	FLITT	67943
3895	FLOAT	86678
3896	FLOBS	94443
3897	FLOCK	58735
3898	FLOCS	80032
3899	FLOES	76793
3900	FLOGS	82485
3901	FLONG	29543
3902	FLOOD	92170
3903	FLOOR	31929
3904	FLOPS	2996
3905	FLORA	39075
3906	FLORS	54254
3907	FLORY	48129
3908	FLOSH	86759
3909	FLOSS	18451
3910	FLOTA	23820
3911	FLOTE	70159
3912	FLOUR	11881
3913	FLOUT	71508
3914	FLOWN	25345
3915	FLOWS	19534
3916	FLUBS	87302
3917	FLUED	53357
3918	FLUES	54112
3919	FLUEY	36912
3920	FLUFF	6565
3921	FLUID	56651
3922	FLUKE	50793
3923	FLUKY	84177
3924	FLUME	34112
3925	FLUMP	58459
3926	FLUNG	36540
3927	FLUNK	52109
3928	FLUOR	35398
3929	FLURR	58041
3930	FLUSH	96055
3931	FLUTE	46422
3932	FLUTY	10122
3933	FLUYT	6064
3934	FLYBY	87001
3935	FLYER	55952
3936	FLYPE	54823
3937	FLYTE	15762
3938	FOALS	89575
3939	FOAMS	55536
3940	FOAMY	38206
3941	FOCAL	17645
3942	FOCUS	59975
3943	FOEHN	20506
3944	FOGEY	33424
3945	FOGGY	99945
3946	FOGIE	60691
3947	FOGLE	77646
3948	FOGOU	34042
3949	FOHNS	70192
3950	FOIDS	25007
3951	FOILS	79099
3952	FOINS	43056
3953	FOIST	56832
3954	FOLDS	74024
3955	FOLEY	86465
3956	FOLIA	60408
3957	FOLIC	93256
3958	FOLIE	9177
3959	FOLIO	23147
3960	FOLKS	91583
3961	FOLKY	46976
3962	FOLLY	90063
3963	FOMES	38510
3964	FONDA	34314
3965	FONDS	92452
3966	FONDU	13716
3967	FONES	62211
3968	FONLY	23048
3969	FONTS	41543
3970	FOODS	88995
3971	FOODY	41812
3972	FOOLS	47293
3973	FOOTS	76371
3974	FOOTY	20931
3975	FORAM	60247
3976	FORAY	81796
3977	FORBS	24956
3978	FORBY	36448
3979	FORCE	31038
3980	FORDO	84465
3981	FORDS	7253
3982	FOREL	42939
3983	FORES	60045
3984	FOREX	5696
3985	FORGE	45112
3986	FORGO	88046
3987	FORKS	37600
3988	FORKY	98455
3989	FORME	61849
3990	FORMS	91576
3991	FORTE	8232
3992	FORTH	43314
3993	FORTS	36559
3994	FORTY	70489
3995	FORUM	81271
3996	FORZA	62469
3997	FORZE	64423
3998	FOSSA	26423
3999	FOSSE	18462
4000	FOUAT	7292
4001	FOUDS	97288
4002	FOUER	4007
4003	FOUET	73641
4004	FOULE	73144
4005	FOULS	21235
4006	FOUND	12074
4007	FOUNT	22155
4008	FOURS	19179
4009	FOUTH	1381
4010	FOVEA	34511
4011	FOWLS	8764
4012	FOWTH	57909
4013	FOXED	37338
4014	FOXES	38442
4015	FOXIE	92599
4016	FOYER	34130
4017	FOYLE	15048
4018	FOYNE	19032
4019	FRABS	87372
4020	FRACK	68275
4021	FRACT	49311
4022	FRAGS	65041
4023	FRAIL	38609
4024	FRAIM	3086
4025	FRAME	49398
4026	FRANC	90451
4027	FRANK	86514
4028	FRAPE	92202
4029	FRAPS	60128
4030	FRASS	67633
4031	FRATE	11238
4032	FRATI	48023
4033	FRATS	25121
4034	FRAUD	60373
4035	FRAUS	79547
4036	FRAYS	66112
4037	FREAK	29418
4038	FREED	6895
4039	FREER	68078
4040	FREES	20777
4041	FREET	84192
4042	FREIT	97728
4043	FREMD	6321
4044	FRENA	36524
4045	FREON	5044
4046	FRERE	91784
4047	FRESH	96140
4048	FRETS	80654
4049	FRIAR	66911
4050	FRIBS	9524
4051	FRIED	70145
4052	FRIER	25300
4053	FRIES	25948
4054	FRIGS	28412
4055	FRILL	72270
4056	FRISE	51042
4057	FRISK	90201
4058	FRIST	98906
4059	FRITH	4761
4060	FRITS	50341
4061	FRITT	54644
4062	FRITZ	6399
4063	FRIZE	93562
4064	FRIZZ	33614
4065	FROCK	53410
4066	FROES	24076
4067	FROGS	48232
4068	FROND	29047
4069	FRONS	60452
4070	FRONT	60072
4071	FRORE	32739
4072	FRORN	27023
4073	FRORY	24897
4074	FROSH	25943
4075	FROST	16141
4076	FROTH	12986
4077	FROWN	28543
4078	FROWS	96474
4079	FROWY	74837
4080	FROZE	79377
4081	FRUGS	9529
4082	FRUIT	41863
4083	FRUMP	46014
4084	FRUSH	48645
4085	FRUST	84929
4086	FRYER	6572
4087	FUBAR	54235
4088	FUBBY	74210
4089	FUBSY	87797
4090	FUCKS	6555
4091	FUCUS	27779
4092	FUDDY	29784
4093	FUDGE	11791
4094	FUDGY	8358
4095	FUELS	74855
4096	FUERO	65402
4097	FUFFS	67169
4098	FUFFY	6303
4099	FUGAL	35332
4100	FUGGY	7712
4101	FUGIE	57419
4102	FUGIO	91559
4103	FUGLE	48082
4104	FUGLY	63799
4105	FUGUE	87463
4106	FUGUS	45579
4107	FUJIS	75962
4108	FULLS	39122
4109	FULLY	95562
4110	FUMED	80605
4111	FUMER	38181
4112	FUMES	14221
4113	FUMET	64592
4114	FUNDI	56526
4115	FUNDS	23752
4116	FUNDY	45702
4117	FUNGI	11209
4118	FUNGO	69039
4119	FUNGS	98127
4120	FUNKS	99488
4121	FUNKY	4365
4122	FUNNY	74995
4123	FURAL	82008
4124	FURAN	14797
4125	FURCA	69618
4126	FURLS	3203
4127	FUROL	29002
4128	FUROR	72891
4129	FURRS	65223
4130	FURRY	65629
4131	FURTH	85493
4132	FURZE	18988
4133	FURZY	94654
4134	FUSED	66055
4135	FUSEE	50622
4136	FUSEL	57460
4137	FUSES	83695
4138	FUSIL	49595
4139	FUSKS	34731
4140	FUSSY	1889
4141	FUSTS	35824
4142	FUSTY	43125
4143	FUTON	98693
4144	FUZED	64829
4145	FUZEE	2941
4146	FUZES	65021
4147	FUZIL	43192
4148	FUZZY	98905
4149	FYCES	63823
4150	FYKED	84895
4151	FYKES	98735
4152	FYLES	15980
4153	FYRDS	40397
4154	FYTTE	74686
4155	GABBA	29091
4156	GABBY	22212
4157	GABLE	36299
4158	GADDI	76625
4159	GADES	27484
4160	GADGE	85591
4161	GADID	20634
4162	GADIS	26697
4163	GADJE	88178
4164	GADJO	50221
4165	GADSO	29362
4166	GAFFE	87132
4167	GAFFS	8578
4168	GAGED	15090
4169	GAGER	12342
4170	GAGES	2981
4171	GAIDS	93765
4172	GAILY	55981
4173	GAINS	3093
4174	GAIRS	57685
4175	GAITA	48604
4176	GAITS	84046
4177	GAITT	58012
4178	GAJOS	48282
4179	GALAH	56869
4180	GALAS	81625
4181	GALAX	63580
4182	GALEA	35933
4183	GALED	55071
4184	GALES	70
4185	GALLS	10117
4186	GALLY	14981
4187	GALOP	26620
4188	GALUT	25252
4189	GALVO	95063
4190	GAMAS	70472
4191	GAMAY	30707
4192	GAMBA	39864
4193	GAMBE	388
4194	GAMBO	27889
4195	GAMBS	31374
4196	GAMED	3985
4197	GAMER	51924
4198	GAMES	72414
4199	GAMEY	35893
4200	GAMIC	48235
4201	GAMIN	99908
4202	GAMMA	78687
4203	GAMME	95001
4204	GAMMY	88745
4205	GAMPS	68908
4206	GAMUT	5637
4207	GANCH	13337
4208	GANDY	60728
4209	GANEF	38408
4210	GANEV	43618
4211	GANGS	61789
4212	GANJA	97303
4213	GANOF	77790
4214	GANTS	3001
4215	GAOLS	49706
4216	GAPED	46120
4217	GAPER	89440
4218	GAPES	42135
4219	GAPOS	28962
4220	GAPPY	82327
4221	GARBE	1596
4222	GARBO	11813
4223	GARBS	39211
4224	GARDA	54870
4225	GARES	25280
4226	GARIS	83291
4227	GARMS	22744
4228	GARNI	78791
4229	GARRE	34524
4230	GARTH	22982
4231	GARUM	19640
4232	GASES	35980
4233	GASPS	30018
4234	GASPY	70014
4235	GASSY	94978
4236	GASTS	31987
4237	GATCH	25785
4238	GATED	64024
4239	GATER	50175
4240	GATES	21826
4241	GATHS	40623
4242	GATOR	49799
4243	GAUCH	79234
4244	GAUCY	96779
4245	GAUDS	53559
4246	GAUDY	71298
4247	GAUGE	49545
4248	GAUJE	69956
4249	GAULT	78438
4250	GAUMS	32223
4251	GAUMY	9635
4252	GAUNT	73163
4253	GAUPS	25682
4254	GAURS	3054
4255	GAUSS	95616
4256	GAUZE	93981
4257	GAUZY	17385
4258	GAVEL	7125
4259	GAVOT	61797
4260	GAWCY	68237
4261	GAWDS	17631
4262	GAWKS	2514
4263	GAWKY	72661
4264	GAWPS	83809
4265	GAWSY	73155
4266	GAYAL	74784
4267	GAYER	49175
4268	GAYLY	5077
4269	GAZAL	51864
4270	GAZAR	9593
4271	GAZED	8706
4272	GAZER	66047
4273	GAZES	79533
4274	GAZON	21023
4275	GAZOO	89933
4276	GEALS	63597
4277	GEANS	99399
4278	GEARE	11992
4279	GEARS	87623
4280	GEATS	45967
4281	GEBUR	68628
4282	GECKO	94233
4283	GECKS	21053
4284	GEEKS	47434
4285	GEEKY	84247
4286	GEEPS	33595
4287	GEESE	3674
4288	GEEST	81030
4289	GEIST	21812
4290	GEITS	16395
4291	GELDS	66134
4292	GELEE	39717
4293	GELID	76064
4294	GELLY	82890
4295	GELTS	92557
4296	GEMEL	37117
4297	GEMMA	165
4298	GEMMY	34086
4299	GEMOT	92643
4300	GENAL	82469
4301	GENAS	99130
4302	GENES	7915
4303	GENET	67075
4304	GENIC	65237
4305	GENIE	94094
4306	GENII	62629
4307	GENIP	84609
4308	GENNY	77330
4309	GENOA	5937
4310	GENOM	79656
4311	GENRE	45091
4312	GENRO	62217
4313	GENTS	5645
4314	GENTY	44436
4315	GENUA	83888
4316	GENUS	81216
4317	GEODE	97295
4318	GEOID	14133
4319	GERAH	39171
4320	GERBE	45641
4321	GERES	78853
4322	GERLE	81556
4323	GERMS	54689
4324	GERMY	75109
4325	GERNE	47022
4326	GESSE	6420
4327	GESSO	92269
4328	GESTE	36377
4329	GESTS	7936
4330	GETAS	88456
4331	GETUP	42374
4332	GEUMS	54954
4333	GEYAN	82617
4334	GEYER	94326
4335	GHAST	10174
4336	GHATS	42690
4337	GHAUT	6267
4338	GHAZI	95771
4339	GHEES	70624
4340	GHEST	31769
4341	GHOST	84791
4342	GHOUL	44807
4343	GHYLL	97728
4344	GIANT	88262
4345	GIBED	56427
4346	GIBEL	6956
4347	GIBER	4312
4348	GIBES	92355
4349	GIBLI	3955
4350	GIBUS	77106
4351	GIDDY	27443
4352	GIFTS	14714
4353	GIGAS	69277
4354	GIGHE	64415
4355	GIGOT	89547
4356	GIGUE	68764
4357	GILAS	80153
4358	GILDS	55187
4359	GILET	19018
4360	GILLS	54029
4361	GILLY	59141
4362	GILPY	29417
4363	GILTS	55107
4364	GIMEL	41268
4365	GIMME	18470
4366	GIMPS	14524
4367	GIMPY	47141
4368	GINCH	246
4369	GINGE	39056
4370	GINGS	25733
4371	GINKS	23880
4372	GINNY	86865
4373	GINZO	68688
4374	GIPON	24570
4375	GIPPO	93037
4376	GIPPY	46616
4377	GIPSY	22615
4378	GIRDS	48273
4379	GIRLS	26423
4380	GIRLY	93545
4381	GIRNS	3351
4382	GIRON	27453
4383	GIROS	1768
4384	GIRRS	66727
4385	GIRSH	35736
4386	GIRTH	55946
4387	GIRTS	88234
4388	GISMO	10447
4389	GISMS	81633
4390	GISTS	63047
4391	GITCH	37934
4392	GITES	41057
4393	GIUST	20583
4394	GIVED	73918
4395	GIVEN	38751
4396	GIVER	32870
4397	GIVES	68806
4398	GIZMO	95745
4399	GLACE	13763
4400	GLADE	3670
4401	GLADS	56197
4402	GLADY	72476
4403	GLAIK	74016
4404	GLAIR	2737
4405	GLAMS	44963
4406	GLAND	63249
4407	GLANS	38576
4408	GLARE	40338
4409	GLARY	48490
4410	GLASS	29042
4411	GLAUM	81284
4412	GLAUR	85271
4413	GLAZE	92945
4414	GLAZY	47681
4415	GLEAM	58974
